  19000: system.cpu0: Fetch: Inst PC:0x7ffff7dd89e4, Fetch PC:0x7ffff7dd89e0
  18000: system.cpu1: Fetch: Inst PC:0x7ffff7dd89dd, Fetch PC:0x7ffff7dd89e0
  18000: system.cpu1: Fetch: Inst PC:0x7ffff7dd89dd, Fetch PC:0x7ffff7dd89e0
  19500: system.cpu0: Fetch: Inst PC:0x7ffff7dd89e7, Fetch PC:0x7ffff7dd89e0
  20000: system.cpu0: Fetch: Inst PC:0x7ffff7dd89e7, Fetch PC:0x7ffff7dd89e8
  19000: system.cpu1: Fetch: Inst PC:0x7ffff7dd89e4, Fetch PC:0x7ffff7dd89e0
  21500: system.cpu0: Fetch: Inst PC:0x7ffff7dd89ee, Fetch PC:0x7ffff7dd89e8
  21500: system.cpu0: Fetch: Inst PC:0x7ffff7dd89ee, Fetch PC:0x7ffff7dd89e8
  19500: system.cpu1: Fetch: Inst PC:0x7ffff7dd89e7, Fetch PC:0x7ffff7dd89e0
  22000: system.cpu0: Fetch: Inst PC:0x7ffff7dd89ee, Fetch PC:0x7ffff7dd89f0
  20000: system.cpu1: Fetch: Inst PC:0x7ffff7dd89e7, Fetch PC:0x7ffff7dd89e8
  20000: system.cpu1: Fetch: Inst PC:0x7ffff7dd89e7, Fetch PC:0x7ffff7dd89e8
  23000: system.cpu0: Fetch: Inst PC:0x7ffff7dd89f5, Fetch PC:0x7ffff7dd89f0
  23500: system.cpu0: Fetch: Inst PC:0x7ffff7dd89f8, Fetch PC:0x7ffff7dd89f8
  23500: system.cpu0: Fetch: Inst PC:0x7ffff7dd89f8, Fetch PC:0x7ffff7dd89f8
  21500: system.cpu1: Fetch: Inst PC:0x7ffff7dd89ee, Fetch PC:0x7ffff7dd89e8
  24500: system.cpu0: Fetch: Inst PC:0x7ffff7dd89ff, Fetch PC:0x7ffff7dd89f8
  24500: system.cpu0: Fetch: Inst PC:0x7ffff7dd89ff, Fetch PC:0x7ffff7dd89f8
  22000: system.cpu1: Fetch: Inst PC:0x7ffff7dd89ee, Fetch PC:0x7ffff7dd89f0
  25000: system.cpu0: Fetch: Inst PC:0x7ffff7dd89ff, Fetch PC:0x7ffff7dd8a00
  23000: system.cpu1: Fetch: Inst PC:0x7ffff7dd89f5, Fetch PC:0x7ffff7dd89f0
  23000: system.cpu1: Fetch: Inst PC:0x7ffff7dd89f5, Fetch PC:0x7ffff7dd89f0
  26500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a05, Fetch PC:0x7ffff7dd8a00
  27000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a05, Fetch PC:0x7ffff7dd8a08
  27000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a05, Fetch PC:0x7ffff7dd8a08
  23500: system.cpu1: Fetch: Inst PC:0x7ffff7dd89f8, Fetch PC:0x7ffff7dd89f8
  28000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a0c, Fetch PC:0x7ffff7dd8a08
  24500: system.cpu1: Fetch: Inst PC:0x7ffff7dd89ff, Fetch PC:0x7ffff7dd89f8
  24500: system.cpu1: Fetch: Inst PC:0x7ffff7dd89ff, Fetch PC:0x7ffff7dd89f8
  28500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a0c, Fetch PC:0x7ffff7dd8a10
  25000: system.cpu1: Fetch: Inst PC:0x7ffff7dd89ff, Fetch PC:0x7ffff7dd8a00
  29000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a16, Fetch PC:0x7ffff7dd8a10
  26500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a05, Fetch PC:0x7ffff7dd8a00
  26500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a05, Fetch PC:0x7ffff7dd8a00
  29500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a16, Fetch PC:0x7ffff7dd8a18
  27000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a05, Fetch PC:0x7ffff7dd8a08
  27000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a05, Fetch PC:0x7ffff7dd8a08
  30000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a20, Fetch PC:0x7ffff7dd8a20
  30500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a25, Fetch PC:0x7ffff7dd8a20
  30500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a25, Fetch PC:0x7ffff7dd8a20
  28000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a0c, Fetch PC:0x7ffff7dd8a08
  31000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a25, Fetch PC:0x7ffff7dd8a28
  28500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a0c, Fetch PC:0x7ffff7dd8a10
  28500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a0c, Fetch PC:0x7ffff7dd8a10
  31500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a2b, Fetch PC:0x7ffff7dd8a28
  29000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a16, Fetch PC:0x7ffff7dd8a10
